Year, Month, Day, Hour, Minute, Second, Millisecond, ros_time, state, pos.x, pos.y, pos.z
2023,06,01,18,35,14,147,1.68562e+09,     0,-3.44597,4.43629,1.07429
2023,06,01,18,35,14,150,1.68562e+09,     0,-3.44597,4.43629,1.07429
2023,06,01,18,35,14,172,1.68562e+09,     0,-3.44597,4.43629,1.07429
2023,06,01,18,35,14,190,1.68562e+09,     0,-3.44492,4.43554,1.08465
2023,06,01,18,35,14,211,1.68562e+09,     0,-3.44398,4.43552,1.0943
2023,06,01,18,35,14,229,1.68562e+09,     0,-3.44283,4.43551,1.1043
2023,06,01,18,35,14,250,1.68562e+09,     0,-3.44215,4.43551,1.11432
2023,06,01,18,35,14,273,1.68562e+09,     0,-3.44127,4.4355,1.12301
2023,06,01,18,35,14,291,1.68562e+09,     0,-3.4403,4.43523,1.13304
2023,06,01,18,35,14,311,1.68562e+09,     0,-3.43944,4.43524,1.1408
2023,06,01,18,35,14,333,1.68562e+09,     0,-3.43886,4.42925,1.14876
2023,06,01,18,35,14,350,1.68562e+09,     0,-3.43783,4.42927,1.15644
2023,06,01,18,35,14,371,1.68562e+09,     0,-3.43722,4.42929,1.16293
2023,06,01,18,35,14,390,1.68562e+09,     0,-3.43676,4.42928,1.17105
2023,06,01,18,35,14,413,1.68562e+09,     0,-3.436,4.42933,1.17675
2023,06,01,18,35,14,430,1.68562e+09,     0,-3.43526,4.4294,1.18366
2023,06,01,18,35,14,451,1.68562e+09,     0,-3.43453,4.42947,1.19024
2023,06,01,18,35,14,471,1.68562e+09,     0,-3.43382,4.42956,1.19493
2023,06,01,18,35,14,493,1.68562e+09,     2,-3.43328,4.43013,1.20364
2023,06,01,18,35,14,510,1.68562e+09,     2,-3.43259,4.43028,1.20804
2023,06,01,18,35,14,532,1.68562e+09,     2,-3.43191,4.43043,1.21465
2023,06,01,18,35,14,552,1.68562e+09,     2,-3.43123,4.4306,1.21997
2023,06,01,18,35,14,572,1.68562e+09,     2,-3.43054,4.43078,1.22401
2023,06,01,18,35,14,592,1.68562e+09,     2,-3.42988,4.43108,1.22959
2023,06,01,18,35,14,610,1.68562e+09,     2,-3.42917,4.43126,1.23338
2023,06,01,18,35,14,632,1.68562e+09,     2,-3.42845,4.43146,1.2383
2023,06,01,18,35,14,651,1.68562e+09,     2,-3.42771,4.43166,1.24334
2023,06,01,18,35,14,674,1.68562e+09,     2,-3.42695,4.43185,1.24655
2023,06,01,18,35,14,693,1.68562e+09,     2,-3.42644, 4.432,1.25144
2023,06,01,18,35,14,713,1.68562e+09,     2,-3.42567,4.43217,1.25467
2023,06,01,18,35,14,730,1.68562e+09,     2,-3.42488,4.43234,1.26057
2023,06,01,18,35,14,752,1.68562e+09,     2,-3.42516,4.43302,1.26502
2023,06,01,18,35,14,772,1.68562e+09,     2,-3.4243,4.43321,1.26777
2023,06,01,18,35,14,791,1.68562e+09,     2,-3.42325,4.43315,1.26872
2023,06,01,18,35,14,812,1.68562e+09,     2,-3.42255,4.43327,1.27131
2023,06,01,18,35,14,831,1.68562e+09,     2,-3.42159,4.43342,1.27551
2023,06,01,18,35,14,852,1.68562e+09,     2,-3.42036,4.43359,1.27943
2023,06,01,18,35,14,871,1.68562e+09,     2,-3.41956,4.43367,1.28193
2023,06,01,18,35,14,892,1.68562e+09,     2,-3.41828,4.43387,1.28773
2023,06,01,18,35,14,911,1.68562e+09,     2,-3.41693,4.43396,1.29034
2023,06,01,18,35,14,931,1.68562e+09,     2,-3.41506,4.43408,1.29158
2023,06,01,18,35,14,951,1.68562e+09,     2,-3.41382,4.43413,1.29583
2023,06,01,18,35,14,972,1.68562e+09,     2,-3.41197,4.4342,1.29824
2023,06,01,18,35,14,992,1.68562e+09,     2,-3.40937,4.43391,1.30102
2023,06,01,18,35,15,012,1.68562e+09,     2,-3.40699,4.43394,1.3032
2023,06,01,18,35,15,032,1.68562e+09,     2,-3.40436,4.43396,1.30468
2023,06,01,18,35,15,051,1.68562e+09,     2,-3.40145,4.43394,1.30846
2023,06,01,18,35,15,071,1.68562e+09,     2,-3.39824,4.43391,1.31061
2023,06,01,18,35,15,093,1.68562e+09,     2,-3.39463,4.43308,1.31222
2023,06,01,18,35,15,112,1.68562e+09,     2,-3.39081, 4.433,1.31436
2023,06,01,18,35,15,132,1.68562e+09,     2,-3.38668,4.43292,1.31701
2023,06,01,18,35,15,152,1.68562e+09,     2,-3.38223,4.43287,1.32074
2023,06,01,18,35,15,169,1.68562e+09,     2,-3.37574,4.43046,1.32298
2023,06,01,18,35,15,192,1.68562e+09,     2,-3.37103,4.43083,1.32422
2023,06,01,18,35,15,210,1.68562e+09,     2,-3.36562,4.43084,1.32656
2023,06,01,18,35,15,230,1.68562e+09,     2,-3.35846,4.43088,1.32826
2023,06,01,18,35,15,251,1.68562e+09,     2,-3.35395,4.4309,1.33267
2023,06,01,18,35,15,273,1.68562e+09,     2,-3.3477,4.43094,1.33516
2023,06,01,18,35,15,292,1.68562e+09,     2,-3.34251,4.43116,1.33605
2023,06,01,18,35,15,311,1.68562e+09,     2,-3.33587,4.43123,1.33858
2023,06,01,18,35,15,333,1.68562e+09,     2,-3.32898,4.4313,1.34044
2023,06,01,18,35,15,350,1.68562e+09,     2,-3.32186,4.4314,1.34464
2023,06,01,18,35,15,374,1.68562e+09,     2,-3.31266,4.43153,1.34723
2023,06,01,18,35,15,392,1.68562e+09,     2,-3.30436,4.43213,1.34863
2023,06,01,18,35,15,412,1.68562e+09,     2,-3.29642,4.4323,1.35116
2023,06,01,18,35,15,431,1.68562e+09,     2,-3.28832,4.43247,1.3524
