Year, Month, Day, Hour, Minute, Second, Millisecond, ros_time, state, pos.x, pos.y, pos.z
2023, 06, 02, 10, 55, 03, 393, 1.68567e+09, 0, -0.159087, 7.82343, 1.08107
2023, 06, 02, 10, 55, 03, 396, 1.68567e+09, 0, -0.159087, 7.82343, 1.08107
2023, 06, 02, 10, 55, 03, 417, 1.68567e+09, 0, -0.159087, 7.82343, 1.08107
2023, 06, 02, 10, 55, 03, 437, 1.68567e+09, 0, -0.158749, 7.82333, 1.09097
2023, 06, 02, 10, 55, 03, 460, 1.68567e+09, 0, -0.158749, 7.82333, 1.10071
2023, 06, 02, 10, 55, 03, 480, 1.68567e+09, 0, -0.151394, 7.82525, 1.1099
2023, 06, 02, 10, 55, 03, 496, 1.68567e+09, 0, -0.151394, 7.82525, 1.11905
2023, 06, 02, 10, 55, 03, 517, 1.68567e+09, 0, -0.148387, 7.82588, 1.12876
2023, 06, 02, 10, 55, 03, 538, 1.68567e+09, 0, -0.148387, 7.82588, 1.13684
2023, 06, 02, 10, 55, 03, 558, 1.68567e+09, 0, -0.14075, 7.8279, 1.14443
2023, 06, 02, 10, 55, 03, 577, 1.68567e+09, 0, -0.14075, 7.8279, 1.15379
2023, 06, 02, 10, 55, 03, 599, 1.68567e+09, 0, -0.13787, 7.82832, 1.16098
2023, 06, 02, 10, 55, 03, 620, 1.68567e+09, 0, -0.13787, 7.82832, 1.16851
2023, 06, 02, 10, 55, 03, 642, 1.68567e+09, 0, -0.13291, 7.82964, 1.17428
2023, 06, 02, 10, 55, 03, 656, 1.68567e+09, 0, -0.13291, 7.82964, 1.17965
2023, 06, 02, 10, 55, 03, 676, 1.68567e+09, 0, -0.13291, 7.82964, 1.18618
2023, 06, 02, 10, 55, 03, 702, 1.68567e+09, 0, -0.124774, 7.83219, 1.19229
2023, 06, 02, 10, 55, 03, 717, 1.68567e+09, 0, -0.124774, 7.83219, 1.19891
2023, 06, 02, 10, 55, 03, 737, 1.68567e+09, 2, -0.121018, 7.83286, 1.20327
2023, 06, 02, 10, 55, 03, 761, 1.68567e+09, 2, -0.11488, 7.83558, 1.20753
2023, 06, 02, 10, 55, 03, 781, 1.68567e+09, 2, -0.113308, 7.83592, 1.21386
2023, 06, 02, 10, 55, 03, 796, 1.68567e+09, 2, -0.113308, 7.83592, 1.21906
2023, 06, 02, 10, 55, 03, 818, 1.68567e+09, 2, -0.111661, 7.83631, 1.22347
2023, 06, 02, 10, 55, 03, 837, 1.68567e+09, 2, -0.111661, 7.83631, 1.22746
2023, 06, 02, 10, 55, 03, 858, 1.68567e+09, 2, -0.106766, 7.83797, 1.23132
2023, 06, 02, 10, 55, 03, 877, 1.68567e+09, 2, -0.106766, 7.83797, 1.23576
2023, 06, 02, 10, 55, 03, 902, 1.68567e+09, 2, -0.104858, 7.83907, 1.24035
2023, 06, 02, 10, 55, 03, 921, 1.68567e+09, 2, -0.0990599, 7.8414, 1.2445
2023, 06, 02, 10, 55, 03, 940, 1.68567e+09, 2, -0.0956994, 7.84236, 1.24752
2023, 06, 02, 10, 55, 03, 956, 1.68567e+09, 2, -0.0956994, 7.84236, 1.25024
2023, 06, 02, 10, 55, 03, 980, 1.68567e+09, 2, -0.0935175, 7.84273, 1.25421
2023, 06, 02, 10, 55, 04, 002, 1.68567e+09, 2, -0.0935175, 7.84273, 1.25808
2023, 06, 02, 10, 55, 04, 017, 1.68567e+09, 2, -0.0878353, 7.84436, 1.26425
2023, 06, 02, 10, 55, 04, 042, 1.68567e+09, 2, -0.0878353, 7.84436, 1.26647
2023, 06, 02, 10, 55, 04, 058, 1.68567e+09, 2, -0.0860734, 7.84485, 1.26855
2023, 06, 02, 10, 55, 04, 081, 1.68567e+09, 2, -0.0860734, 7.84485, 1.27141
2023, 06, 02, 10, 55, 04, 098, 1.68567e+09, 2, -0.0814654, 7.84655, 1.27542
2023, 06, 02, 10, 55, 04, 117, 1.68567e+09, 2, -0.0814654, 7.84655, 1.27843
2023, 06, 02, 10, 55, 04, 144, 1.68567e+09, 2, -0.0814654, 7.84655, 1.28075
2023, 06, 02, 10, 55, 04, 156, 1.68567e+09, 2, -0.0788602, 7.84752, 1.28305
2023, 06, 02, 10, 55, 04, 176, 1.68567e+09, 2, -0.0788602, 7.84752, 1.28411
2023, 06, 02, 10, 55, 04, 197, 1.68567e+09, 2, -0.0718161, 7.85053, 1.28802
2023, 06, 02, 10, 55, 04, 216, 1.68567e+09, 2, -0.0718161, 7.85053, 1.28924
2023, 06, 02, 10, 55, 04, 238, 1.68567e+09, 2, -0.0667638, 7.85311, 1.29122
2023, 06, 02, 10, 55, 04, 256, 1.68567e+09, 2, -0.0651118, 7.85429, 1.29322
2023, 06, 02, 10, 55, 04, 277, 1.68567e+09, 2, -0.0637754, 7.85467, 1.29427
2023, 06, 02, 10, 55, 04, 302, 1.68567e+09, 2, -0.0637754, 7.85467, 1.29736
2023, 06, 02, 10, 55, 04, 316, 1.68567e+09, 2, -0.0589974, 7.85756, 1.29894
2023, 06, 02, 10, 55, 04, 337, 1.68567e+09, 2, -0.0589974, 7.85756, 1.30097
2023, 06, 02, 10, 55, 04, 361, 1.68567e+09, 2, -0.056518, 7.8592, 1.30303
2023, 06, 02, 10, 55, 04, 378, 1.68567e+09, 2, -0.056518, 7.8592, 1.30407
2023, 06, 02, 10, 55, 04, 397, 1.68567e+09, 2, -0.0537707, 7.86101, 1.30822
2023, 06, 02, 10, 55, 04, 416, 1.68567e+09, 2, -0.0537707, 7.86101, 1.3107
2023, 06, 02, 10, 55, 04, 437, 1.68567e+09, 2, -0.0516648, 7.86221, 1.31311
2023, 06, 02, 10, 55, 04, 457, 1.68567e+09, 2, -0.0516648, 7.86221, 1.3155
2023, 06, 02, 10, 55, 04, 481, 1.68567e+09, 2, -0.0516648, 7.86221, 1.31678
2023, 06, 02, 10, 55, 04, 501, 1.68567e+09, 2, -0.0495194, 7.8643, 1.32054
2023, 06, 02, 10, 55, 04, 521, 1.68567e+09, 2, -0.0495194, 7.8643, 1.32167
2023, 06, 02, 10, 55, 04, 536, 1.68567e+09, 2, -0.0468494, 7.86581, 1.3243
2023, 06, 02, 10, 55, 04, 558, 1.68567e+09, 2, -0.0468494, 7.86581, 1.32695
2023, 06, 02, 10, 55, 04, 579, 1.68567e+09, 2, -0.0434894, 7.86823, 1.32797
2023, 06, 02, 10, 55, 04, 598, 1.68567e+09, 2, -0.0434894, 7.86823, 1.33251
2023, 06, 02, 10, 55, 04, 618, 1.68567e+09, 2, -0.0414304, 7.87023, 1.3342
2023, 06, 02, 10, 55, 04, 638, 1.68567e+09, 2, -0.040155, 7.87167, 1.33671
2023, 06, 02, 10, 55, 04, 661, 1.68567e+09, 2, -0.0394984, 7.87195, 1.33924
2023, 06, 02, 10, 55, 04, 681, 1.68567e+09, 2, -0.0394984, 7.87195, 1.34063
2023, 06, 02, 10, 55, 04, 696, 1.68567e+09, 2, -0.0383344, 7.8732, 1.3443
2023, 06, 02, 10, 55, 04, 718, 1.68567e+09, 2, -0.0383344, 7.8732, 1.34647
2023, 06, 02, 10, 55, 04, 736, 1.68567e+09, 2, -0.0348193, 7.87738, 1.34899
2023, 06, 02, 10, 55, 04, 758, 1.68567e+09, 2, -0.0348193, 7.87738, 1.35152
2023, 06, 02, 10, 55, 04, 777, 1.68567e+09, 2, -0.0328304, 7.87944, 1.35288
2023, 06, 02, 10, 55, 04, 798, 1.68567e+09, 2, -0.0314566, 7.88108, 1.35667
2023, 06, 02, 10, 55, 04, 817, 1.68567e+09, 2, -0.0302605, 7.88164, 1.35795
2023, 06, 02, 10, 55, 04, 837, 1.68567e+09, 2, -0.0302605, 7.88164, 1.36066
2023, 06, 02, 10, 55, 04, 857, 1.68567e+09, 2, -0.0274364, 7.88493, 1.36338
2023, 06, 02, 10, 55, 04, 877, 1.68567e+09, 2, -0.0274364, 7.88493, 1.36491
2023, 06, 02, 10, 55, 04, 902, 1.68567e+09, 2, -0.0248085, 7.88853, 1.36973
2023, 06, 02, 10, 55, 04, 920, 1.68567e+09, 2, -0.0248085, 7.88853, 1.37247
2023, 06, 02, 10, 55, 04, 937, 1.68567e+09, 2, -0.0231831, 7.89219, 1.37514
2023, 06, 02, 10, 55, 04, 959, 1.68567e+09, 2, -0.0231831, 7.89219, 1.3778
2023, 06, 02, 10, 55, 04, 976, 1.68567e+09, 2, -0.0231831, 7.89219, 1.38124
2023, 06, 02, 10, 55, 05, 000, 1.68567e+09, 2, -0.0204297, 7.89436, 1.38549
2023, 06, 02, 10, 55, 05, 018, 1.68567e+09, 2, -0.0204297, 7.89436, 1.3872
2023, 06, 02, 10, 55, 05, 036, 1.68567e+09, 2, -0.0192955, 7.89628, 1.38983
2023, 06, 02, 10, 55, 05, 058, 1.68567e+09, 2, -0.0192955, 7.89628, 1.39245
2023, 06, 02, 10, 55, 05, 080, 1.68567e+09, 2, -0.0163869, 7.9002, 1.39486
2023, 06, 02, 10, 55, 05, 097, 1.68567e+09, 2, -0.0163869, 7.9002, 1.39839
2023, 06, 02, 10, 55, 05, 119, 1.68567e+09, 2, -0.0142762, 7.90374, 1.40048
2023, 06, 02, 10, 55, 05, 137, 1.68567e+09, 2, -0.0136901, 7.90531, 1.40308
2023, 06, 02, 10, 55, 05, 161, 1.68567e+09, 2, -0.0142672, 7.90664, 1.40567
2023, 06, 02, 10, 55, 05, 176, 1.68567e+09, 2, -0.0142672, 7.90664, 1.40735
2023, 06, 02, 10, 55, 05, 196, 1.68567e+09, 2, -0.012252, 7.90738, 1.41103
2023, 06, 02, 10, 55, 05, 216, 1.68567e+09, 2, -0.012252, 7.90738, 1.41524
