Year, Month, Day, Hour, Minute, Second, Millisecond, taskTime, state, pos.x, pos.y, pos.z, eulerAngle.x, eulerAngle.y, eulerAngle.z
2023, 06, 06, 12, 31, 41, 766, 0.761932, 2, 7.35097, 0.295024, 1.29323, -0.0101072, 0.0136088, 0.0150676
2023, 06, 06, 12, 31, 41, 786, 0.781871, 2, 7.35097, 0.295024, 1.29417, -0.0110074, 0.014636, 0.014962
2023, 06, 06, 12, 31, 41, 802, 0.801845, 2, 7.35097, 0.295024, 1.29691, -0.0112662, 0.0160261, 0.0148565
2023, 06, 06, 12, 31, 41, 826, 0.821925, 2, 7.35128, 0.294451, 1.29638, -0.0118722, 0.0167732, 0.0152672
2023, 06, 06, 12, 31, 41, 843, 0.841834, 2, 7.35128, 0.294451, 1.29705, -0.0121959, 0.0166729, 0.0150156
2023, 06, 06, 12, 31, 41, 863, 0.861897, 2, 7.35088, 0.293211, 1.29763, -0.0125675, 0.0172052, 0.0147819
2023, 06, 06, 12, 31, 41, 882, 0.881914, 2, 7.35088, 0.293211, 1.29951, -0.0126985, 0.0169896, 0.0152305
2023, 06, 06, 12, 31, 41, 906, 0.901863, 2, 7.35216, 0.295782, 1.30188, -0.0127419, 0.0162846, 0.0148942
2023, 06, 06, 12, 31, 41, 924, 0.921993, 2, 7.35216, 0.295782, 1.30204, -0.0129515, 0.0160356, 0.0148191
2023, 06, 06, 12, 31, 41, 942, 0.941848, 2, 7.35311, 0.295894, 1.3025, -0.0128686, 0.0152196, 0.0150983
2023, 06, 06, 12, 31, 41, 966, 0.961895, 2, 7.35391, 0.298031, 1.30291, -0.0126904, 0.0139221, 0.0148086
2023, 06, 06, 12, 31, 41, 982, 0.981847, 2, 7.35475, 0.299699, 1.30287, -0.0123973, 0.013027, 0.0149399
2023, 06, 06, 12, 31, 42, 003, 1.00209, 2, 7.35475, 0.299699, 1.30502, -0.0124298, 0.0117457, 0.0148605
2023, 06, 06, 12, 31, 42, 022, 1.02185, 2, 7.35568, 0.302798, 1.30521, -0.0121858, 0.0104777, 0.0149406
2023, 06, 06, 12, 31, 42, 046, 1.04188, 2, 7.35568, 0.302798, 1.30561, -0.0114024, 0.00925763, 0.0152102
2023, 06, 06, 12, 31, 42, 063, 1.06184, 2, 7.35655, 0.306254, 1.30601, -0.0112615, 0.0072807, 0.0147548
2023, 06, 06, 12, 31, 42, 086, 1.08185, 2, 7.35655, 0.306254, 1.30555, -0.0109423, 0.00590473, 0.014749
2023, 06, 06, 12, 31, 42, 103, 1.10249, 2, 7.35806, 0.308373, 1.30748, -0.0105168, 0.00440644, 0.0151929
2023, 06, 06, 12, 31, 42, 123, 1.12191, 2, 7.35806, 0.308373, 1.30728, -0.00967709, 0.00249718, 0.0146805
2023, 06, 06, 12, 31, 42, 142, 1.14185, 2, 7.35806, 0.308373, 1.30756, -0.00951473, 0.00161584, 0.0148735
2023, 06, 06, 12, 31, 42, 163, 1.16192, 2, 7.35874, 0.308944, 1.30784, -0.00967354, -0.000281384, 0.0151185
