Year, Month, Day, Hour, Minute, Second, Millisecond, ros_time, state, pos.x, pos.y, pos.z
2023, 06, 02, 11, 11, 37, 847, 1.68568e+09, 0, -2.00477, 5.17077, 1.07554
2023, 06, 02, 11, 11, 37, 851, 1.68568e+09, 0, -2.00477, 5.17077, 1.07554
2023, 06, 02, 11, 11, 37, 875, 1.68568e+09, 0, -2.00477, 5.17077, 1.07554
2023, 06, 02, 11, 11, 37, 893, 1.68568e+09, 0, -1.99987, 5.17071, 1.08541
2023, 06, 02, 11, 11, 37, 912, 1.68568e+09, 0, -1.99987, 5.17071, 1.09432
2023, 06, 02, 11, 11, 37, 932, 1.68568e+09, 0, -1.99524, 5.17094, 1.10596
2023, 06, 02, 11, 11, 37, 953, 1.68568e+09, 0, -1.99174, 5.17106, 1.11518
2023, 06, 02, 11, 11, 37, 971, 1.68568e+09, 0, -1.99174, 5.17106, 1.13248
2023, 06, 02, 11, 11, 37, 991, 1.68568e+09, 0, -1.99174, 5.17106, 1.14076
2023, 06, 02, 11, 11, 38, 011, 1.68568e+09, 0, -1.99035, 5.17151, 1.14778
2023, 06, 02, 11, 11, 38, 033, 1.68568e+09, 0, -1.99035, 5.17151, 1.15482
2023, 06, 02, 11, 11, 38, 052, 1.68568e+09, 0, -1.98667, 5.17243, 1.16175
2023, 06, 02, 11, 11, 38, 071, 1.68568e+09, 0, -1.98667, 5.17243, 1.16779
2023, 06, 02, 11, 11, 38, 093, 1.68568e+09, 0, -1.98064, 5.17512, 1.17384
2023, 06, 02, 11, 11, 38, 113, 1.68568e+09, 0, -1.98064, 5.17512, 1.18008
2023, 06, 02, 11, 11, 38, 132, 1.68568e+09, 0, -1.97703, 5.17597, 1.18664
2023, 06, 02, 11, 11, 38, 151, 1.68568e+09, 0, -1.97703, 5.17597, 1.19146
2023, 06, 02, 11, 11, 38, 172, 1.68568e+09, 0, -1.97554, 5.17631, 1.19885
2023, 06, 02, 11, 11, 38, 195, 1.68568e+09, 2, -1.97554, 5.17631, 1.20323
2023, 06, 02, 11, 11, 38, 215, 1.68568e+09, 2, -1.96889, 5.182, 1.2085
2023, 06, 02, 11, 11, 38, 232, 1.68568e+09, 2, -1.96889, 5.182, 1.21314
2023, 06, 02, 11, 11, 38, 250, 1.68568e+09, 2, -1.96889, 5.182, 1.21728
