Year, Month, Day, Hour, Minute, Second, Millisecond, taskTime, state, pos.x, pos.y, pos.z, eulerAngle.x, eulerAngle.y, eulerAngle.z
2023, 06, 06, 12, 34, 41, 262, 9.53674e-07, 0, 7.5527, 0.41878, 1.08003, -0.00514869, -0.0331706, -0.000759004
2023, 06, 06, 12, 34, 41, 263, 0.00100327, 0, 7.5527, 0.41878, 1.08003, -0.0053143, -0.0329609, -0.000585504
2023, 06, 06, 12, 34, 41, 287, 0.0211706, 0, 7.5527, 0.41878, 1.08003, -0.0053143, -0.0329609, -0.000585504
2023, 06, 06, 12, 34, 41, 303, 0.0410986, 0, 7.55178, 0.41563, 1.09326, -0.0052793, -0.032852, -0.000733481
2023, 06, 06, 12, 34, 41, 324, 0.0611238, 0, 7.55178, 0.41563, 1.10261, -0.00560253, -0.0323975, -0.000692348
2023, 06, 06, 12, 34, 41, 343, 0.0810828, 0, 7.56781, 0.372692, 1.11188, -0.00573295, -0.0320674, -0.000667574
2023, 06, 06, 12, 34, 41, 364, 0.101074, 0, 7.56781, 0.372692, 1.12186, -0.00562537, -0.0320876, -0.00085876
2023, 06, 06, 12, 34, 41, 383, 0.121083, 0, 7.58135, 0.338043, 1.13038, -0.00593116, -0.03146, -0.000937739
2023, 06, 06, 12, 34, 41, 406, 0.141148, 0, 7.58135, 0.338043, 1.14057, -0.006023, -0.0315915, -0.000683575
2023, 06, 06, 12, 34, 41, 424, 0.161123, 0, 7.58519, 0.327778, 1.14839, -0.00602531, -0.0315158, -0.000944774
2023, 06, 06, 12, 34, 41, 444, 0.18111, 0, 7.58519, 0.327778, 1.15588, -0.00633234, -0.0311005, -0.000947654
2023, 06, 06, 12, 34, 41, 465, 0.201123, 0, 7.58519, 0.327778, 1.16517, -0.00660305, -0.0309608, -0.000811042
2023, 06, 06, 12, 34, 41, 483, 0.221103, 0, 7.59076, 0.310068, 1.17188, -0.00668035, -0.0311191, -0.000936364
2023, 06, 06, 12, 34, 41, 503, 0.241081, 0, 7.59076, 0.310068, 1.1818, -0.00671426, -0.0309838, -0.00112614
2023, 06, 06, 12, 34, 41, 527, 0.261106, 0, 7.58326, 0.322566, 1.18778, -0.00686438, -0.0305458, -0.00105315
2023, 06, 06, 12, 34, 41, 546, 0.281087, 0, 7.58326, 0.322566, 1.19342, -0.00649887, -0.0296235, -0.000943194
2023, 06, 06, 12, 34, 41, 567, 0.301138, 2, 7.58059, 0.321786, 1.20043, -0.00543581, -0.0279109, -0.00117215
2023, 06, 06, 12, 34, 41, 589, 0.321095, 2, 7.58059, 0.321786, 1.20561, -0.00469985, -0.0265893, -0.00131517
2023, 06, 06, 12, 34, 41, 607, 0.341102, 2, 7.57815, 0.318281, 1.21363, -0.00414111, -0.0253087, -0.00097269
2023, 06, 06, 12, 34, 41, 629, 0.361122, 2, 7.57815, 0.318281, 1.21859, -0.00338177, -0.0247681, -0.00136888
2023, 06, 06, 12, 34, 41, 644, 0.381099, 2, 7.57623, 0.315366, 1.22346, -0.00310569, -0.0241814, -0.00126404
2023, 06, 06, 12, 34, 41, 665, 0.401218, 2, 7.57443, 0.315844, 1.2299, -0.00317133, -0.0233964, -0.000917002
2023, 06, 06, 12, 34, 41, 689, 0.421094, 2, 7.57389, 0.31523, 1.2345, -0.00262878, -0.023143, -0.00139938
2023, 06, 06, 12, 34, 41, 707, 0.441098, 2, 7.57389, 0.31523, 1.24276, -0.00267323, -0.0224644, -0.00127796
2023, 06, 06, 12, 34, 41, 724, 0.461093, 2, 7.57274, 0.313982, 1.24701, -0.0026184, -0.0221244, -0.00107594
2023, 06, 06, 12, 34, 41, 743, 0.481077, 2, 7.57274, 0.313982, 1.25105, -0.00211773, -0.0217027, -0.00150291
2023, 06, 06, 12, 34, 41, 763, 0.501079, 2, 7.57345, 0.307047, 1.25649, -0.00237702, -0.0212092, -0.00140643
2023, 06, 06, 12, 34, 41, 784, 0.521092, 2, 7.57345, 0.307047, 1.25996, -0.00185289, -0.0210449, -0.00119609
2023, 06, 06, 12, 34, 41, 804, 0.541102, 2, 7.57345, 0.307047, 1.26753, -0.00187696, -0.0213216, -0.0014027
2023, 06, 06, 12, 34, 41, 824, 0.561084, 2, 7.57231, 0.305713, 1.2706, -0.00197691, -0.0206371, -0.001478
