Year, Month, Day, Hour, Minute, Second, Millisecond, ros_time, state, pos.x, pos.y, pos.z
2023, 06, 02, 10, 41, 38, 142, 1.68567e+09, 0, 0.288514, 0.111655, 0.122835
2023, 06, 02, 10, 41, 38, 163, 1.68567e+09, 0, 0.28855, 0.111659, 0.122755
2023, 06, 02, 10, 41, 38, 181, 1.68567e+09, 0, 0.288569, 0.111658, 0.122665
2023, 06, 02, 10, 41, 38, 201, 1.68567e+09, 0, 0.288587, 0.111653, 0.122648
2023, 06, 02, 10, 41, 38, 222, 1.68567e+09, 0, 0.288875, 0.111655, 0.122561
2023, 06, 02, 10, 41, 38, 240, 1.68567e+09, 0, 0.288613, 0.111635, 0.122477
2023, 06, 02, 10, 41, 38, 261, 1.68567e+09, 0, 0.288623, 0.111621, 0.122456
2023, 06, 02, 10, 41, 38, 282, 1.68567e+09, 0, 0.288634, 0.111605, 0.12233
2023, 06, 02, 10, 41, 38, 301, 1.68567e+09, 0, 0.288646, 0.111587, 0.122312
2023, 06, 02, 10, 41, 38, 321, 1.68567e+09, 0, 0.288577, 0.111638, 0.122186
2023, 06, 02, 10, 41, 38, 341, 1.68567e+09, 0, 0.28858, 0.111624, 0.122114
2023, 06, 02, 10, 41, 38, 361, 1.68567e+09, 0, 0.288582, 0.111612, 0.12218
2023, 06, 02, 10, 41, 38, 381, 1.68567e+09, 0, 0.288583, 0.111606, 0.122088
2023, 06, 02, 10, 41, 38, 401, 1.68567e+09, 0, 0.288581, 0.111596, 0.122119
2023, 06, 02, 10, 41, 38, 421, 1.68567e+09, 0, 0.28856, 0.111364, 0.122012
2023, 06, 02, 10, 41, 38, 441, 1.68567e+09, 0, 0.288552, 0.11135, 0.121928
2023, 06, 02, 10, 41, 38, 461, 1.68567e+09, 0, 0.288542, 0.111334, 0.122052
2023, 06, 02, 10, 41, 38, 482, 1.68567e+09, 0, 0.28853, 0.111321, 0.122051
2023, 06, 02, 10, 41, 38, 501, 1.68567e+09, 0, 0.288517, 0.111309, 0.122179
2023, 06, 02, 10, 41, 38, 520, 1.68567e+09, 0, 0.288609, 0.111375, 0.122124
2023, 06, 02, 10, 41, 38, 541, 1.68567e+09, 0, 0.288599, 0.11136, 0.122049
2023, 06, 02, 10, 41, 38, 561, 1.68567e+09, 0, 0.28859, 0.111348, 0.122092
2023, 06, 02, 10, 41, 38, 581, 1.68567e+09, 0, 0.288578, 0.111338, 0.122008
2023, 06, 02, 10, 41, 38, 602, 1.68567e+09, 0, 0.288565, 0.111323, 0.122088
2023, 06, 02, 10, 41, 38, 620, 1.68567e+09, 0, 0.28827, 0.111281, 0.122046
2023, 06, 02, 10, 41, 38, 640, 1.68567e+09, 0, 0.288261, 0.11127, 0.122021
2023, 06, 02, 10, 41, 38, 662, 1.68567e+09, 0, 0.288021, 0.111515, 0.12214
2023, 06, 02, 10, 41, 38, 682, 1.68567e+09, 0, 0.288015, 0.111512, 0.1221
2023, 06, 02, 10, 41, 38, 702, 1.68567e+09, 0, 0.288009, 0.111511, 0.122176
2023, 06, 02, 10, 41, 38, 721, 1.68567e+09, 0, 0.288255, 0.11135, 0.122125
2023, 06, 02, 10, 41, 38, 741, 1.68567e+09, 0, 0.288254, 0.111351, 0.122075
2023, 06, 02, 10, 41, 38, 763, 1.68567e+09, 0, 0.288257, 0.111352, 0.122178
2023, 06, 02, 10, 41, 38, 781, 1.68567e+09, 0, 0.28826, 0.111351, 0.122142
2023, 06, 02, 10, 41, 38, 802, 1.68567e+09, 0, 0.288265, 0.111349, 0.122218
2023, 06, 02, 10, 41, 38, 821, 1.68567e+09, 0, 0.287631, 0.111182, 0.122197
2023, 06, 02, 10, 41, 38, 841, 1.68567e+09, 0, 0.287641, 0.11118, 0.122189
